직종,세부직종,직무태그,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적,근무경력_y,근무경력_m,근무경력_d
영업·판매·TM,해외영업,"중국 무역, 수출입, 해외영업",기타,"서울,중국,경기",이화여자대학교,중문학과,HSK,無,60.0,0,0,0
영업·판매·TM,해외영업,"의류해외영업,생산관리,무역",정규직,"서울,해외,기타",수원대학교,경영학과,없음,無,80.0,15,6,5655
경영·기획·회계·사무,비서·인포메이션·수행·안내,서비스,기타,"서울,서울,서울",상지대학교,안경학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,생산관리·품질관리·품질보증,품질관리 (audit:차량 품질평가),기타,"전남,,",목포대학교,경영학과,없음,無,80.0,0,0,0
통신·모바일,네트워크·LAN,"네트워크 장비,기술영업",기타,"경기,서울,충남",선문대학교,신학과,없음,無,80.0,0,0,0
영업·판매·TM,기술영업,"기계,기술영업,영업관리,구매",기타,"경기,서울,",수원대학교,기계공학과,없음,有,70.0,8,1,2950
경영·기획·회계·사무,무역·수출입·운송사무,"수출입관리,무역,영업관리",기타,"서울,중국,기타",세종대학교,통계학과,없음,有,70.0,0,0,0
영업·판매·TM,영업관리·영업지원,영업관리,기타,"부산,경남,울산",동아대학교,경영학과,없음,無,80.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","금융,IBM,PLI,MVS,UNIX-C,유가증권,HOST,ALM",기타,"서울,경기,",수원대학교,전파학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"기획 , IPO , 원가 , 회계",기타,"서울,서울,경기",중앙대학교,경제학과,TOEIC,有,60.0,0,0,0
전문·교육·자격,외국어·번역·통역,번역,기타,"서울,경기,",연세대학교,물리학과,없음,有,50.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,일반사무직,기타,"서울,경기,",수원대학교,행정학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,광고·홍보,일본어,기타,"서울,,",동덕여자대학교,일본학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,어패럴 상품개발,기타,"전국,해외,해외",성신여자대학교,디자인학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"총무,관리,사무,홍보,경영",기타,"서울,경기,",선문대학교,사회학과,없음,無,80.0,0,0,0
통신·모바일,모바일기획,"CDMA,GSM",기타,"서울,,",중앙대학교,컴퓨터공학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경리·회계,없음,기타,"서울,경기,",세종대학교,경영학과,없음,有,80.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","kernel,전산전공,linux,시스템프로그래머,embeded,xml",기타,"서울,경기,인천",수원대학교,전파학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,"경리, 회계",기타,"서울,광주,경기",광주대학교,회계학과,없음,有,74.22997946611909,0,0,0
디자인,제품·산업디자인,"금속디자인,공간디자인,산업디자인,",기타,"부산,부산,부산",동의대학교,산업디자인학과,없음,有,71.30162703379224,0,0,0
경영·기획·회계·사무,사무·총무·법무,"인사,일반기획,총무,관리,영업",기타,"서울,,",성균관대학교,법학과,없음,有,80.0,0,0,0
전문·교육·자격,호텔·숙박·여행,"조리사,주방장,일식,퓨전음식,외식",정규직,"서울,전국,미국",선문대학교,경영학과,없음,有,71.45522388059702,5,6,2005
경영·기획·회계·사무,경리·회계,",채권,채권추심,법무",기타,"서울,경기,강원",중앙대학교,법학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,물류·유통관리,금융,기타,"서울,서울,서울",광주대학교,금융학과,없음,無,60.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","C , MFC , JSP , Oracle",기타,"서울,인천,",동덕여자대학교,전파학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,인사·노무·교육·인재개발,금융,기타,"서울,경기,",동아대학교,경영학과,없음,無,70.0,0,0,0
영업·판매·TM,기술영업,"일본어,계측기,",기타,"서울,경기,",광주대학교,도시공학과,없음,無,70.0,0,0,0
영업·판매·TM,영업관리·영업지원,없음,기타,"서울,경남,중국",한성대학교,산업학과,없음,無,60.0,5,0,1825
건설·기계·전기·전자,기계·기계설계·기계설비,"생산관리,R,D,개발,품질관리,CAD,CAM",기타,"인천,서울,경기",한국산업기술대학교,제어학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,마케팅 기획 및 OPERATION PARTS,기타,"서울,경기,",성균관대학교,경제학과,TOEIC,無,60.0,0,0,0
전문·교육·자격,외국어·번역·통역,"중국어,번역,통역,무역사무,해외영업,",기타,"서울,경기,경기",성균관대학교,중문학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"일반사무,비서,총무,금융",기타,"서울,경기,인천",성신여자대학교,중문학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,광고·홍보,"기계,기계조립,산업기계,광고,광고제작,광고제작",정규직,"부산,경남,울산",세종대학교,안경학과,없음,有,70.0,7,6,2735
경영·기획·회계·사무,사무·총무·법무,"인사,총무,관리",기타,"서울,,",이화여자대학교,교육학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보,마케팅,기획",기타,"서울,인천,경기",인천대학교,독일학과,없음,無,70.0,0,0,0
IT·게임,웹마스터,"웹기획,웹프로그램,웹마스터",기타,"서울,,",용인대학교,통계학과,없음,無,73.71830985915493,0,0,0
IT·게임,웹디자인,"웹디자이너,웹디자인,포토샵,플래쉬,HTML,드림위버,일러스트레이터,자바스크립트,인터페이스디자인,나모",기타,"서울,서울,서울",세명대학교,산업디자인학과,없음,無,90.0,0,0,0
전문·교육·자격,호텔·숙박·여행,"기획 , 영업관리",기타,"서울,경기,",세종대학교,안경학과,없음,無,80.0,0,0,0
기술·과학·산업,조선·우주·항공,해운,정규직,"서울,전북,부산",군산대학교,해양공학과,없음,有,90.0,3,0,1095
경영·기획·회계·사무,경리·회계,"무역영어,수입수출무역,전산회계,회계,경리",기타,"서울,경기,경기",서울여자대학교,체육학과,없음,無,73.30849478390462,0,0,0
디자인,기타 디자인,"이벤트 기획, 홍보 등",기타,"서울,서울,서울",이화여자대학교,시각학과,없음,有,60.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,게임,",기타,"서울,,",성균관대학교,철학과,없음,無,80.0,0,0,0
IT·게임,서버·네트워크·보안,없음,기타,"서울,경기,기타",중앙대학교,전기학과,없음,有,70.0,0,0,0
영업·판매·TM,판매·매장관리·캐셔·프런트,명품관 판매,기타,"서울,경기,",성공회대학교,일본학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경리·회계,금융,기타,"서울,경기,인천",성결대학교,경영학과,없음,無,90.0,0,0,0
전문·교육·자격,호텔·숙박·여행,매장관리자,기타,"서울,미국,캐나다",이화여자대학교,가정관리학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,무역·수출입·운송사무,"무역실무,수출입,바이어관리,해외영업",정규직,"서울,중국,",연세대학교,중문학과,HSK,無,70.0,5,10,2125
통신·모바일,네트워크·LAN,"IPTelephony,VOIP",정규직,"서울,해외,",경기대학교,산업학과,TOEIC,有,80.0,6,0,2190
디자인,의류·패션·잡화디자인,없음,기타,"서울,서울,서울",인천대학교,디자인학과,없음,有,80.0,0,0,0
재료·화학·섬유·의복,화학·화공,"석유화학,화학,거래처관리,기술영업,영업관리,기술지원",정규직,"서울,전북,",전주대학교,신학과,없음,有,70.0,9,7,3495
영업·판매·TM,기술영업,"기술,영업,수입,수출,",기타,"서울,경기,기타",군산대학교,기계공학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,없음,기타,"대전,서울,",이화여자대학교,비서학과,TOEIC,有,70.0,2,0,730
경영·기획·회계·사무,사무·총무·법무,"인사,총무,사무,서비스,기획,관리",기타,"서울,경기,",상지대학교,안경학과,없음,有,70.47819971870605,0,0,0
경영·기획·회계·사무,경리·회계,"회계,재무,자금,세무,결산,관리,경리,총무,경영지원,세무회계,원천세,인사,4대보험,경영,급여관리,부가세신고",정규직,"서울,서울,기타",상지대학교,경영학과,없음,無,60.0,13,5,4895
재료·화학·섬유·의복,에너지·환경,"환경,환경평가,대기,수질,폐기물",기타,"서울,경기,",수원대학교,환경공학과,없음,有,80.0,0,0,0
재료·화학·섬유·의복,섬유·의복,"바잉, 면세",기타,"서울,,",이화여자대학교,디자인학과,TOEIC,無,80.0,0,0,0
기술·과학·산업,연구개발·R&D,"RTOS,호처리",기타,"서울,해외,캐나다",한림대학교,컴퓨터공학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"기획관리 , 경영기획",기타,"서울,경기,인천",성균관대학교,기계공학과,없음,無,80.0,0,0,0
건설·기계·전기·전자,CAD·CAM,"CAD , 공정설계 ,기구설계",기타,"서울,경기,인천",중앙대학교,기계공학과,없음,無,60.0,0,0,0
디자인,인테리어·공간디자인,"인테리어설계,건축설계,CAD",기타,"서울,인천,경기",상지대학교,생물학과,없음,無,70.47819971870605,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,"건강식품 및 화장품 방문판매, 다단계 유통 의 신설 및 운영",기타,"서울,경기,인천",성균관대학교,화학과,없음,無,71.03946637020567,0,0,0
경영·기획·회계·사무,구매·자재사무,"구매,생산관리,마케팅,건설공무,건축자재구매경력 보유",기타,"서울,경기,인천",수원대학교,가정관리학과,없음,無,80.0,0,0,0
디자인,인테리어·공간디자인,"인테리어,공간디자인",기타,"서울,서울,서울",연세대학교,환경공학과,TOEIC,無,80.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,없음,기타,"부산,부산,경남",동서대학교,전기학과,없음,有,90.0,2,11,1060
디자인,의류·패션·잡화디자인,"패션디자인,의상디자인,코디네이터,디스플레이",기타,"서울,경기,기타",세종대학교,디자인학과,없음,有,70.71491615180936,6,0,2190
IT·게임,웹디자인,"웹디자인,멀티미디어디자인",기타,"서울,전남,",목포대학교,교육학과,없음,無,80.0,0,0,0
영업·판매·TM,기술영업,"IPT,UC,WLAN,PBX,통신,CTI,시스템영업,기술영업,네트워크영업",정규직,"서울,경기,",인천대학교,전파학과,없음,有,60.0,11,11,4345
경영·기획·회계·사무,경영·기획·전략,"경영기획,전략기획,경영지원,신사업,중국어,영어,사업평가,",기타,"서울,중국,경기",연세대학교,경영학과,TOEIC,無,69.22274881516587,0,0,0
영업·판매·TM,영업·영업기획,"영업기획,영업관리,마케팅기획",정규직,"서울,서울,서울",세종대학교,경제학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,"상품기획,마케팅,디스플레이",기타,"서울,서울,서울",연세대학교,환경공학과,TOEIC,無,80.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅, 게임, 인터넷, 대기업, 외국계",기타,"서울,해외,",연세대학교,중문학과,TOEFL,無,60.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,"비서 , 수행 , 보안 , 안전 , 경호 , 관리 , 총무 , 인사",기타,"서울,경기,서울",용인대학교,유도학과,없음,有,80.0,0,0,0
재료·화학·섬유·의복,섬유·의복,없음,기타,"서울,미국,서울",동덕여자대학교,미술학과,TOEFL,無,70.0,0,0,0
IT·게임,웹디자인,"컨텐츠관리,사이트운영,모션그래픽,플래쉬캐릭터,애니메이션,플래쉬액션스크립트,HTML,포토샵,일러스트,캐릭터디자인","정규직, 계약직","서울,경기,",중앙대학교,화학과,없음,無,70.0,13,5,4895
건설·기계·전기·전자,전기·전자·제어,"전자 , h.w , PCB , 전기",기타,"대전,경기,서울",한밭대학교,전파학과,없음,有,72.6986301369863,0,0,0
영업·판매·TM,영업관리·영업지원,"국내영업과해외영업및기획,채권관리국내,중국어화교,중국영업,LCD영업,반도체영업,기술영업,법인영업,일반영업,장비영업,영업기획,거래선개발,자동차영업",정규직,"서울,중국,대만",성균관대학교,중문학과,기타,有,60.0,10,10,3950
경영·기획·회계·사무,마케팅·마케팅기획,일류 스포츠마케터를 꿈꾸며,기타,"서울,경기,강원",성균관대학교,문헌학과,TOEIC,有,70.0,0,0,0
영업·판매·TM,영업·영업기획,"영업,영업관리,마케팅",기타,"서울,경기,",호원대학교,회계학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,생산관리·품질관리·품질보증,"해외영업,무역,중국어,해외시장개척,해외사업,해외마케팅,중국무역,수출입,해외지사,바이어관리,바이어발굴,선적,무역영어,무역사무,수출,수입,해외구매,수출입관리",정규직,"서울,중국,대만",성균관대학교,중문학과,기타,有,60.0,10,10,3950
영업·판매·TM,영업·영업기획,"사무,관리,영업관리,출판,미디어",기타,"서울,경기,",수원대학교,역사학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,무역·수출입·운송사무,수출입무역바이어발굴,정규직,"서울,경기,강원",세종대학교,통계학과,TOEIC,有,70.0,2,5,880
영업·판매·TM,기술영업,기술영업,기타,"서울,서울,서울",성균관대학교,유전공학과,없음,有,60.0,0,0,0
건설·기계·전기·전자,건설·토목·건축설비,"건축공무,건축설계",기타,"대전,충남,경기",한밭대학교,건설학과,없음,無,80.0,0,0,0
건설·기계·전기·전자,CAD·CAM,공장설계,기타,"서울,충북,",연세대학교,화학과,없음,無,69.22274881516587,0,0,0
IT·게임,서버·네트워크·보안,"MCP , ASP , Windows NT,2000 서버 구축 , 웹마스터 , CAD",기타,"서울,,",중앙대학교,기계공학과,없음,無,70.30195381882771,0,0,0
IT·게임,웹마스터,"웹 마스터, Web Master, 영어, 중국어, 경력, .NET",기타,"서울,경기,인천",중앙대학교,영문학과,TOEIC,有,70.0,0,0,0
IT·게임,웹기획·웹마케팅·PM,"웹기획 , 웹PD , 웹PM",기타,"서울,,",상지대학교,안경학과,없음,無,70.47819971870605,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,없음,기타,"서울,,",이화여자대학교,식품영양,TOEIC,有,68.31265508684864,0,0,0
경영·기획·회계·사무,경리·회계,"일본어 ,래저,",기타,"서울,부산,부산",동아대학교,체육학과,없음,無,60.0,0,0,0
영업·판매·TM,영업·영업기획,"매장관리,유통,해외영업,번역",기타,"서울,서울,부산",성균관대학교,통계학과,TOEIC,無,80.0,0,0,0
영업·판매·TM,해외영업,"해외영업,무역,영어",기타,"서울,경기,",세종대학교,영문학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,없음,기타,"서울,,",세종대학교,영문학과,없음,有,80.0,2,11,1060
건설·기계·전기·전자,전기·전자·제어,"전자,통신,반도체,CTI,단말기,모바일",기타,"서울,전남,대전",광주대학교,전파학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"일본어, 총무",기타,"서울,서울,서울",동덕여자대학교,일본학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,경리·회계,AICPA,기타,"서울,경기,",성균관대학교,경영학과,TOEIC,有,70.0,0,0,0
영업·판매·TM,해외영업,"해외영업,무역",기타,"서울,경기,대전",중앙대학교,무역학과,TOEIC,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,"더존프로그램,EXCEL,WORD,정보검색",기타,"서울,,",동의대학교,경영학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,일반 사무직,기타,"부산,,",동서대학교,영문학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,"비서, 사무",기타,"서울,,",동의대학교,영문학과,없음,有,71.30162703379224,0,0,0
건설·기계·전기·전자,기계·기계설계·기계설비,자동차부품개발,기타,"경기,경기,전국",성균관대학교,화학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,무역·수출입·운송사무,"중국어(2년연수)여행사,사무무역,사서,사무정보응용기사,교원",기타,"서울,중국,광주",전주대학교,문헌학과,HSK,有,70.0,0,0,0
영업·판매·TM,해외영업,중국전문가,기타,"중국,경기,서울",연세대학교,중문학과,없음,無,69.22274881516587,10,0,3650
경영·기획·회계·사무,경리·회계,"경리,급여,세무,세무회계,더존,재무,회계,출납,원천세,부가세신고,전산회계",정규직,"서울,광주,경기",광주대학교,금융학,TOEIC,有,90.0,4,5,1610
경영·기획·회계·사무,사무·총무·법무,"사무,총무,관리",기타,"서울,경기,",서울여자대학교,역사학과,없음,無,70.0,0,0,0
디자인,그래픽디자인·CG,"그래픽디자인 ,편집디자인 , 광고디자인 , 패키지디자인 , CI디자인 ,Illustrator , Photoshop",기타,"서울,서울,서울",중앙대학교,시각학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,구매·자재사무,"일반사무,무역사무,중국어",기타,"경기,인천,서울",선문대학교,국어국문학과,없음,無,70.0,0,0,0
IT·게임,웹기획·웹마케팅·PM,웹기획,기타,"서울,경기,",세종대학교,컴퓨터공학과,없음,無,60.0,0,0,0
전문·교육·자격,교육·교사·교수·강사,"금융 , 채권 , 교육 , 은행 , 관리 , 기타",기타,"전북,서울,경기",군산대학교,신학과,TOEIC,有,80.0,0,0,0
IT·게임,웹프로그래머,"JSP , JAVA , ORACLE , 정보처리기사",기타,"서울,기타,기타",목포대학교,조경학과,없음,有,80.0,0,0,0
디자인,그래픽디자인·CG,"편집디자인 , photoShop , 일러스트",기타,"서울,경기,전북",호원대학교,산업디자인학과,없음,無,70.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"TV기술개발:전자회로분야(무선설비.정보통신,정보처리기사,토익725점)",기타,"경남,부산,경북",동의대학교,전파학과,TOEIC,有,60.0,0,0,0
IT·게임,웹디자인,photoShop,"정규직, 계약직, 파견직, ","서울,경기,",동덕여자대학교,전파학과,없음,無,60.0,7,9,2825
경영·기획·회계·사무,생산관리·품질관리·품질보증,품질관리,기타,"충남,서울,경기",한밭대학교,전파학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,"경영지원,재무,임원,회계,관리",기타,"서울,,",중앙대학교,경제학과,없음,無,80.0,0,0,0
재료·화학·섬유·의복,식품가공,식품HACCP총괄업무,정규직,"충북,충남,서울",동아대학교,농업학과,없음,無,71.17144600366076,15,1,5505
IT·게임,서버·네트워크·보안,웹마스터,기타,"광주,전남,전북",호남대학교,컴퓨터공학과,없음,無,71.41463414634147,0,0,0
경영·기획·회계·사무,경영·기획·전략,MD,기타,"서울,서울,서울",광주대학교,안경학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,구매·자재사무,자재관리및 구매업무,기타,"경기,경기,경기",호원대학교,전파학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"사무직,비서,중국어",기타,"서울,경기,인천",성신여자대학교,중문학과,HSK,有,80.0,0,0,0
IT·게임,웹프로그래머,ERP,기타,"서울,,",중앙대학교,행정학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경리·회계,더존,기타,"서울,경기,",수원대학교,역사학과,없음,有,70.0,0,0,0
IT·게임,웹프로그래머,"Java, JSP, ASP, Web, 쇼핑몰, 전자 상거래, Oracle",기타,"서울,대전,경기",상지대학교,전파학과,없음,無,70.0,0,0,0
건설·기계·전기·전자,기계·기계설계·기계설비,없음,기타,"경기,서울,인천",인천대학교,기계공학과,TOEIC,有,70.0,3,7,1305
IT·게임,웹프로그래머,"웹프로그래머, 응용프로그래머, 중국어, c#, .net, vb. asp, 솔루션, sql, mcse",기타,"서울,중국,",한림대학교,중문학과,HSK,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,"투자상담사, 세무와 회계부문과 재무부문에서 전문지식",기타,"서울,울산,중국",연세대학교,경영학과,없음,無,70.0,0,0,0
영업·판매·TM,영업관리·영업지원,없음,정규직,"부산,경남,서울",동아대학교,무역학과,TOEIC,無,60.0,2,9,1000
경영·기획·회계·사무,사무·총무·법무,"일본어,호텔,인천공항,항공사",기타,"서울,인천,일본",세종대학교,일본학과,JLPT,無,70.0,0,0,0
경영·기획·회계·사무,무역·수출입·운송사무,일본어,기타,"서울,경기,인천",호남대학교,일본학과,JLPT,有,90.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,없음,기타,"서울,서울,경기",인천대학교,전파학과,없음,有,80.0,11,0,4015
IT·게임,웹마스터,"웹디자인 , 웹프로그램 , photoshop , JAVA , ORACLE , MYSQL , ASP , 웹기획",기타,"전북,경기,서울",군산대학교,컴퓨터공학과,없음,有,80.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","UnixC,Oracle,ProC,Mysql,Altibase",정규직,"서울,경기,해외",상지대학교,전산학과,없음,有,80.0,5,3,1915
영업·판매·TM,기술영업,"기술영업,시스템,관리,분석",정규직,"전국,전국,전국",성균관대학교,전기학과,TOEIC,有,70.0,7,1,2585
IT·게임,웹프로그래머,프로그래머,기타,"서울,서울,서울",호원대학교,신학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,없음,정규직,"서울,,",이화여자대학교,화학과,TOEIC,無,68.31265508684864,3,10,1395
디자인,제품·산업디자인,"잡화디자인,의상디자인,포토샵,일러스트레이터,제품디자인,팬시디자인,문구디자인",기타,"서울,경기,",동의대학교,산업디자인학과,없음,無,71.30162703379224,0,0,0
경영·기획·회계·사무,사무·총무·법무,"총무,사무,관리",기타,"서울,경기,경기",성결대학교,경영학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,구매·자재사무,"인사,물류,총무,품질",기타,"충북,,",서원대학교,경영학과,없음,有,60.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"총무,인사 물류,관리",기타,"충북,,",서원대학교,경영학과,없음,有,60.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,사무,정규직,"경기,경기,",수원대학교,생물학과,없음,有,80.0,4,0,1460
경영·기획·회계·사무,사무·총무·법무,",경영지원,복리후생,노무,노무관리,인력개발,인력관리,인사,인사관리,인사기획,인사노무,인사담당,인사총무,인재개발,관리,인재관리,임금관리,조직관리,채용,HR","정규직, 해외취업","서울,,",전주대학교,경영학과,없음,有,70.0,6,1,2220
통신·모바일,모바일프로그래머,"PDA,Mobile,MFC,VisualC,Phone,SmartPhone,핸드폰,WinCE,모바일",정규직,"서울,경기,경기",수원대학교,전산학과,없음,有,71.10878661087867,7,9,2825
전문·교육·자격,인문·사회·자연과학 연구,연구직 일반사무,기타,"서울,경기,",세명대학교,광고홍보학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,"일반사무,  비서,",기타,"경기,,",용인대학교,식품영양,없음,有,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,MD,기타,"서울,서울,서울",광주대학교,안경학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,없음,기타,"서울,서울,서울",광주대학교,안경학과,없음,無,70.0,5,1,1855
경영·기획·회계·사무,광고·홍보,"웹 디자인, 마케팅,홍보,광고",기타,"서울,경기,",중앙대학교,시각학과,없음,無,80.0,0,0,0
영업·판매·TM,기술영업,SI영업,기타,"서울,경기,",성균관대학교,고분자학과,없음,無,50.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"자동제어 Engineer [PLC,MMI]",기타,"서울,경기,기타",동아대학교,전파학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경리·회계,경영지원,기타,"서울,경기,",성균관대학교,회계학과,없음,無,70.0,0,0,0
전문·교육·자격,외국어·번역·통역,"영어,중국어",기타,"서울,,",한성대학교,영문학과,TOEIC,無,50.0,0,0,0
영업·판매·TM,영업관리·영업지원,영업 광고 인쇄 관리,기타,"서울,경기,인천",선문대학교,자원학과,없음,無,60.0,0,0,0
건설·기계·전기·전자,전기·전자·제어,"전기기사,일본어,반도체후공정장비전장",기타,"경기,대전,충북",호원대학교,전기학과,없음,無,80.0,0,0,0
영업·판매·TM,해외영업,"중국어,사무,해외,무역,",정규직,"서울,경기,홍콩",동덕여자대학교,경제학과,HSK,有,70.0,4,0,1460
경영·기획·회계·사무,인사·노무·교육·인재개발,"헤드헌터,의류 기획,해외업무",기타,"서울,,",성균관대학교,디자인학과,TOEIC,無,80.0,0,0,0
경영·기획·회계·사무,광고·홍보,"홍보,마케팅,광고,PR,이벤트",기타,"서울,경기,",이화여자대학교,교육학과,없음,無,70.0,5,3,1915
경영·기획·회계·사무,기타 경영·기획·회계·사무,어떤일이든 최선을 다할수있는일..,기타,"서울,기타,기타",성균관대학교,스포츠학과,없음,無,60.0,0,0,0
IT·게임,웹프로그래머,"웹프로그래머, SQL , asp , php , database , 서버 관리 , 웹서버 운용",기타,"서울,경기,",한림대학교,유전공학과,없음,無,69.41176470588235,5,1,1855
건설·기계·전기·전자,전기·전자·제어,"전기,전기기술,전기설비",기타,"전국,경남,경북",동의대학교,전기학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,직업상담,기타,"서울,,",동아대학교,생물학과,없음,有,71.17144600366076,0,0,0
IT·게임,서버·네트워크·보안,"Network consulting 및 구축 운영 PM,M,A,O,A 관리 및 PM",기타,"광주,서울,전남",호남대학교,신학과,없음,有,60.0,0,0,0
재료·화학·섬유·의복,제약·의약,"제약,의약",기타,"광주,,",호남대학교,경영학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,경리·회계,"회계 , 세무 , 자금",기타,"서울,대전,전북",한밭대학교,회계학과,없음,有,70.0,0,0,0
IT·게임,웹프로그래머,"프로그래머, JSP , JAVA , ASP , VB , SQL ,",기타,"서울,부산,",동서대학교,컴퓨터공학과,없음,有,70.0,0,0,0
영업·판매·TM,기술영업,"일반관리직 , 영업 , 인사 , 기획 및 전략",기타,"서울,서울,서울",한림대학교,전파학과,없음,有,80.0,0,0,0
건설·기계·전기·전자,건설·토목·건축설비,공무부,기타,"전북,대전,경기",전주대학교,물리학과,없음,無,90.0,0,0,0
영업·판매·TM,텔레마케팅(인/아웃바운드TM),고객관리,기타,"서울,,",성신여자대학교,법학과,없음,無,80.0,0,0,0
경영·기획·회계·사무,경리·회계,"세무,회계,경리,급여관리,자금,결산,보험,전산직,재무",기타,"서울,서울,서울",상지대학교,회계학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,영어,기타,"전남,광주,기타",군산대학교,해양공학과,TOEIC,有,70.0,0,0,0
영업·판매·TM,영업관리·영업지원,없음,기타,"서울,경기,경기",상지대학교,경제학과,없음,有,80.0,1,11,695
IT·게임,웹프로그래머,"JAVA,Struts,JSP,C,Unix,PowerBuilder","정규직, 계약직","서울,인천,경기",군산대학교,전기학과,없음,有,60.0,2,8,970
경영·기획·회계·사무,인사·노무·교육·인재개발,인사교육,정규직,"서울,경기,충남",성균관대학교,영문학과,TOEIC,有,80.0,19,7,7145
건설·기계·전기·전자,전기·전자·제어,"RF,이동통신,휴대폰,단말기",기타,"서울,경기,대전",동의대학교,전파학과,없음,無,80.0,0,0,0
영업·판매·TM,텔레마케팅(인/아웃바운드TM),상담.마케팅,기타,"서울,서울,서울",이화여자대학교,체육학과,없음,無,68.31265508684864,0,0,0
재료·화학·섬유·의복,섬유·의복,"워드,엑셀,중국어 중",기타,"경기,서울,전북",군산대학교,중문학과,없음,無,90.0,0,0,0
경영·기획·회계·사무,경리·회계,"회계,경리,재무,세무",정규직,"서울,,",동의대학교,경영학과,TOEIC,無,70.0,6,8,2430
건설·기계·전기·전자,전기·전자·제어,"생산기술,자동화,일본어,기획",기타,"경기,서울,전국",성균관대학교,전파학과,JLPT,有,70.0,0,0,0
재료·화학·섬유·의복,섬유·의복,"섬유관련, Sourcing , Q,C , 해외영업 , 중국어 , 영어",기타,"중국,서울,해외",동아대학교,유학,HSK,有,70.0,0,0,0
경영·기획·회계·사무,구매·자재사무,"물류,자재,배송",기타,"서울,서울,경기",성균관대학교,정보학과,없음,無,100.0,0,0,0
영업·판매·TM,해외영업,중국어,기타,"중국,서울,경기",상지대학교,화학과,TOEIC,無,60.0,0,0,0
